label,content
1, spbach lerc.nasa.gov james felder subject re `` so help you god '' in court in article 013423tan102 psuvm.psu.edu andrew newell tan102 psuvm.psu.edu writes in article 1993apr9.151914.1885 daffy.cs.wisc.edu mccullou snake2.cs.wisc.edu mark mccullough says in article monack.733980580 helium monack helium.gas.uug.arizona.edu david n- monack writes another issue is that by having to request to not be required to recite the `` so help me god '' part of the oath a theistic jury may be prejudiced against your testimony even though atheism is probably not at all relevant to the case what is the recommended procedure for requesting an alternate oath or affirmation dave sorry for using a follow-up to respond but my server dropped about a weeks worth of news when it could n't keep up when the you are asked to swear `` so help you god '' and you have to say it ask which one jesus allah vishnu zues odin get them to be specific do n't be obnoxious just humbly ask then quitely sit back and watch the fun -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- james l. felder sverdrup technology inc phone 216-891-4019 nasa lewis research center cleveland ohio email jfelder lerc.nasa.gov '' some people drink from the fountain of knowledge other people gargle '' -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
1, keith cco.caltech.edu keith allan schneider subject re `` cruel '' was re political atheists livesey solntze.wpd.sgi.com jon livesey writes this whole thread started because of a discussion about whether or not the death penalty constituted cruel punishment which is forbidden by the us constitution yes but they did n't say what they meant by `` cruel '' which is why a you have the supreme court and b it makes no sense to refer to the constitution which is quite silent on the meaning of the word `` cruel '' they spent quite a bit of time on the wording of the constitution they picked words whose meanings implied the intent we have already looked in the dictionary to define the word is n't this sufficient oh but we were discussing the death penalty and that discussion resulted from the one about murder which resulted from an intial discussion about objective morality -- so this is already three times removed from the morality discussion actually we were discussing the mening of the word `` cruel '' and the us constitution says nothing about that but we were discussing it in relation to the death penalty and the constitution need not define each of the words within anyone who doesn't know what cruel is can look in the dictionary and we did keith
1, bobbe vice.ico.tek.com robert beauchaine subject re thoughts on christians in article sandvik-190493224221 sandvik-kent.apple.com sandvik newton.apple.com kent sandvik writes as i know you ca n't get any physical problems by passive christianity unlike smoking it 's not that hard to avoid christianity today anyway just ignore 'em right on keith err kent whadda you mean you did n't see the smiley / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  bob beauchaine bobbe vice.ico.tek.com they said that queens could stay they blew the bronx away and sank manhattan out at sea ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
1, cjhs minster.york.ac.uk subject re free moral agency are you saying that their was a physical adam and eve and that all humans are direct decendents of only these two human beings. then who were cain and able 's wives could n't be their sisters because a e did n't have daughters were they non-humans genesis 5:4 and the days of adam after he begat seth were eight hundred years and he begat sons and daughters felicitations -- chris ho-stuart
1, darice yoyo.cc.monash.edu.au fred rice subject re slavery was re why is sex only allowed in marriage ... in 1993apr4.200253.21409 ennews.eas.asu.edu guncer enuxha.eas.asu.edu selim guncer writes you might not like what bernard lewis writes about label him as a zionist or such to discredit him etc you misrepresent me selim the hard evidence for my statements about his lack of objectivity are presented quite clearly in the book '' orientalism '' by edward said edward said by the way is a christian not a muslim i think he is pretty much objective in his treatment in `` race and slavery in the middle east '' since he clearly distinguishes between slavery under islam and the practice of slavery in other countries like the us prior to the civil war he also does not conceal that there are verses in the quran which promote the liberation of slaves what he does n't and i do n't think nobody can deduce from these verses is that slavery will eventually be abolished in islamic countries now you might rather conveniently blame the practice of slavery on muslims but the facts are out there i also fail to see the relevance of the claim of lewis being a `` zionist '' to what i wrote regarding bernard lewis him being a zionist gives him a political motive for his giving misrepresentations and half-truths about islam read `` orientalism '' by edward said -- see the evidence for yourself in fact i may post some of it here if it is n't too long they were encyclopaedic information which anybody can access that slavery was abolished at certain dates some years after muhammed that this was the cause of tensions in the ottoman empire between the arab slave traders and the government etc .. we also have in the asu library volumes of british documents on slavery where reports and documents concerning slavery all around the world can be found which i checked some of the incidents lewis mentions so i do n't think ones political stance has anything to do with documentary evidence i have n't read lewis 's article so i ca n't comment directly upon it and have only spoken about his writings _in general_ so far that his political motives make him a biased writer on islam his anti-islamic polemics as i understand it are often quite subtle and are often based on telling half-truths again read `` orientalism '' by edward said i am _not_ asking you to take what i say on trust in fact i am urging you not to do so but to get this book it is a well-known book and check the evidence out for _yourself_ the issue i raised was that slaves were used for sexual purposes when it was claimed that islam prohibits extra-marital sex i wrote that the prophet himself had concubines i wrote an incident in which the prophet advised on someone who did not want his concubine to get pregnant etc. which is contrary to the notion that `` sex is for procreation only '' in other words such claims are baseless in the quran and the hadith if slavery is _in reality_ as opposed to in the practice of some muslims opposed by islam then using slaves for sexual purposes is necessarily opposed too i seem to be unsuccesful in getting through to you islam is not `` advocating '' slavery slavery was an existing institution in the 7th century it advised on slaves being freed for good deeds etc. which is nothing new many cultures saw this as a good thing what is the problem here but i can argue rightfully that slaves were discouraged about thinking about their statuses politically the quran rewards the good slave so obey your master and perhaps one day you 'll be free but it is very understandable that i do not communicate with muslims since they assume the quran is from a `` god '' and i think it is a rule-based system imposed on the society for preservation of the status quo slaves are a part of this system the subordination of women so that their function in society boils down to child-making is a part of this system etc i understand your point of view selim -- i think rather it is _us_ who are not getting through to _you_ some of the points you repeat above i have already answered before regarding women i have made posting after posting on this subject showing that islam is not anti-woman etc however have you been completely ignoring my postings or just missing them i just reposted a very good one under the title `` islam and women '' reposted from soc.religion.islam if this has already disappeared from your site then please email me telling me so and i will email you a copy of this excellent article imho your understanding of the issue of women in islam is sadly deficient regarding slaves _my_ posting on slavery -- the second one i made which is a repost of an article i wrote early last year -- is based completely on the qur'an and contains numerous qur'anic verses and hadiths to support its point of view our approaches are different -- you are arguing from a historical standpoint and i am arguing directly from the teachings of the qur'an and hadiths now just because people say they are muslims and perform a particular action does that automatically mean that their action is part of islam even if it is opposed by the qur'an and sunnah no of course not let me give you a concrete example which might help clarify this for you the qur'an prohibits drinking now if a person says `` i am a muslim '' and then proceeds to drink a bottle of beer does this now mean that islam teaches that people should drink beer of course not and only an idiot would think so do you see my point it is very natural to think that the author/authors of the quran had no idea that the socio-economic structure they were advocating would experience at least two paradigm shifts in years in the western cultures first with the end of the feudal era and the rise of commerce second with the industrial revolution well rules have changed and the status quo has driven muslim countries into misery trying to survive in a `` heathen '' world muslim countries have failed economically they were unable to accumulate any wealth directly due to the uncomprimising economic rules in the quran in fact the rise of islam can easily be modeled after the pyramid effect you do not produce any wealth at home but increase your wealth by conquering places you are judging islam here on capitalist terms capitalism is an ideology based largely on the assumption that people want to maximise their wealth -- this assumption is in opposition to islamic teachings to say islam is bad because it is not capitalist is pretty unthinking -- islam does not pretend to be capitalist and does not try to be capitalist this does not mean that islam does not support a free-market -- for it does in general -- but there are other parts of capitalism which are opposed to islam as i understand it when this stopped you and i were left bare in the open for emperialists to devour no capital no industry very poor social services the education level in muslim countries are the lowest in the world the health statistics are miserable etc .. one can postulate numerous reasons for this your theory is that it is because islam is not secularist and capitalist etc etc selim i will give you a clear historical example to show you the fallacy of your views if you think as you obviously do that islam lack of education and power for a large part of history the islamic world was very powerful for a significant section of history the islamic world was the foremost in the sciences so to say that islam is for example anti-education is completely absurd you try to blame this situation on islam -- history shows that your conclusion is false and that instead there must be other reasons for this situation you blame muslims for not following the quran but i blame muslims for following the quran well selim your viewpoint on women in islam makes me question the extent of your knowledge of islam i really think you are not knowledgeable enough to be able to judge whether the muslims are following the qur'an or not your idea is baseless from historical facts it is a poor utopia the islamic world was at the forefront of the world in science at one stage -- yet somehow in your theory it is by `` following the qur'an '' that muslims are backwards in education selim it is _your_ thesis that is anti-historical for you conveniently overlook this historical fact which contradicts your theory while my ideas are derived from social and economic history you have certainly not shown this you have merely stated it so far it seems to me that your view on islam being anti-education is quite contrary to history that you are so convinced of your views makes me wonder just how objectively you are trying to look at all of this my solution to all muslims is simple cut the crap i think selim you should consider taking your own advice get the facts straight here too and work hard to reverse the effects of years of ignorance selim you have such conviction of your viewpoint yet you demonstrate ignorance not only of islam but also of islamic history particularly with respect to muslims being leaders of science till about or so i think yet you say that your viewpoint is based on history selim if i remember right you say in one of your earlier posts that you are an apostate from islam i think you should slow down and start thinking clearly about the issues and start _reading_ some of our postings about islam rather than ignoring them as you so obviously have fred rice darice yoyo.cc.monash.edu.au
1, livesey solntze.wpd.sgi.com jon livesey subject re pompous ass in article 1qlef4inn8dn gap.caltech.edu keith cco.caltech.edu keith allan schneider writes livesey solntze.wpd.sgi.com jon livesey writes ... the `` little things '' above were in reference to germany clearly people said that there were similar things in germany but no one could name any that 's not true i gave you two examples one was the rather pevasive anti-semitism in german christianity well before hitler arrived the other was the system of social ranks that were used in imperail germany and austria to distinguish jews from the rest of the population these do n't seem like `` little things '' to me at least they are orders worse than the motto do you think that the motto is a `` little thing '' that will lead to worse things you do n't think these are little things because with twenty-twenty hindsight you know what they led to jon
1, pmoloney maths.tcd.ie paul moloney subject re some thoughts bissda saturn.wwc.edu dan lawrence bissell writes niether was he a lunatic would more than an entire nation be drawn to someone who was crazy find an encyclopedia volume h. now look up hitler adolf he had many more people than just germans enamoured with him p. -- moorcockpratchettdenislearydelasoulu2iainmbanksneworderheathersbatmanpjorourke clive p a u l m o l o n e y come let us retract the foreskin of misconception james trinity college dublin and apply the wire brush of enlightenment geoffm brownbladerunnersugarcubeselectronicblaylockpowersspikeleekatebushhamcornpizza
1, sieferme stein.u.washington.edu eric sieferman subject re i do n't beleive in you either in article 1993apr13.213055.818 antioc.antioch.edu smauldin antioc.antioch.edu writes i stopped believing in you as well long before the invention of technology -- god do n't listen to this guy he 's just a crank at first this business about being the `` one true god '' was tolerated by the rest of us but now it has gotten completely out of hand besides it really is n't so bad when people stop believing in you it 's much more relaxing when mortals are n't always begging you for favors -- zeus
1, sandvik newton.apple.com kent sandvik subject re christian morality is in article pww-210493010443 spac-at1-59.rice.edu pww spacsun.rice.edu peter simple logic arguments are folly if you read the bible you will see that jesus made fools of those who tried to trick him with `` logic '' our ability to reason is just a spec of creation yet some think it is the ultimate if you rely simply on your reason then you will never know more than you do now to learn you must accept that which you do n't know can anyone eaplain what he 's just said here i ca n't it seems jesus used logic to make people using logic look like fools no that does not sound right he maybe just told they were fools and that 's it and people believed that ... hmm does not sound reasonable either ... i find it always very intriguing to see people stating that transcendental values ca n't be explained and then in the next sentence they try to explain these unexplained values highly strange cheers kent -- sandvik newton.apple.com alink ksand -- private activities on the net
1, bobbe vice.ico.tek.com robert beauchaine subject re thoughts on christians in article ofnwyg600wb699voa= andrew.cmu.edu pl1u+ andrew.cmu.edu patrick c leger writes ever hear of baptism at birth if that is n't preying on the young i do n't know what is ... no that 's praying on the young preying on the young comes later when the bright eyed little altar boy finds out what the priest really wears under that chasible / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /  bob beauchaine bobbe vice.ico.tek.com they said that queens could stay they blew the bronx away and sank manhattan out at sea ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
